date,cases,deaths,uf,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-07,3,0,CE,68018,2305407,4.4106,
2020-04-07,2,1,CE,102498,2305506,1.95126,0.5
2020-04-07,12,0,CE,,,,
2020-04-07,1,0,CE,11593,2305654,8.62589,
2020-04-07,1,0,CE,38166,2305902,2.62013,
2020-04-07,1,1,CE,37980,2306256,2.63296,1.0
2020-04-07,1,0,CE,129358,2306405,0.77305,
2020-04-07,3,1,CE,34682,2306900,8.65002,0.3333
2020-04-07,3,0,CE,274207,2307304,1.09406,
2020-04-07,1,0,CE,31508,2307502,3.1738,
2020-04-07,1,0,CE,59540,2307601,1.67954,
2020-04-07,17,1,CE,227886,2307650,7.45987,0.0588
2020-04-07,2,0,CE,128978,2307700,1.55065,
2020-04-07,1,0,CE,47962,2308104,2.08498,
2020-04-07,2,0,CE,28607,2309409,6.9913,
2020-04-07,2,0,CE,83432,2309706,2.39716,
2020-04-07,1,0,CE,43258,2310506,2.31171,
2020-04-07,1,0,CE,20567,2310852,4.86216,
2020-04-07,4,0,CE,87728,2311306,4.55955,
2020-04-07,1,0,CE,81082,2311405,1.23332,
2020-04-07,1,0,CE,32452,2312007,3.08147,
2020-04-07,1,1,CE,43703,2312205,2.28817,1.0
2020-04-07,1,0,CE,25496,2312700,3.92218,
2020-04-07,11,0,CE,208935,2312908,5.2648,
2020-04-07,1,1,CE,75946,2313401,1.31673,1.0
2020-04-07,1188,40,CE,9132078,23,13.00909,0.0337
2020-04-07,503,12,DF,3015268,5300108,16.68177,0.0239
2020-04-07,503,12,DF,3015268,53,16.68177,0.0239
2020-04-07,1,0,ES,30586,3200102,3.26947,
2020-04-07,0,0,ES,7836,3200359,,
2020-04-07,5,0,ES,101220,3200607,4.93974,
2020-04-07,1,0,ES,15037,3201001,6.65026,
2020-04-07,1,0,ES,208972,3201209,0.47853,
2020-04-07,17,0,ES,381285,3201308,4.45861,
2020-04-07,2,0,ES,37534,3201407,5.3285,
2020-04-07,3,0,ES,122499,3201506,2449,
2020-04-07,1,0,ES,21509,3202207,4.64922,
2020-04-07,3,0,ES,124859,3202405,2.40271,
2020-04-07,1,,ES,12479,3202504,8.01346,
2020-04-07,0,0,ES,,,,
2020-04-07,1,0,ES,34348,3202801,2.91138,
2020-04-07,8,0,ES,173555,3203205,4.60949,
2020-04-07,1,0,ES,50110,3203908,1.99561,
2020-04-07,1,0,ES,23590,3204609,4.23908,
2020-04-07,4,1,ES,130611,3204906,3.06253,0.25
2020-04-07,1,0,ES,12415,3204955,8.05477,
2020-04-07,41,1,ES,517510,3205002,7.92255,0.0244
2020-04-07,2,0,ES,30070,3205010,6.65115,
2020-04-07,1,0,ES,78239,3205101,1.27813,
2020-04-07,67,2,ES,493838,3205200,13.5672,0.0299
2020-04-07,65,2,ES,362097,3205309,17.95099,0.0308
2020-04-07,227,6,ES,4018650,32,5.64866,0.0264
2020-04-07,1,0,GO,212440,5200258,0.47072,
2020-04-07,11,0,GO,386923,5201108,2.84294,
2020-04-07,1,0,GO,578179,5201405,0.17296,
2020-04-07,1,0,GO,25216,5203500,3.96574,
2020-04-07,0,0,GO,91162,5204508,,
2020-04-07,1,0,GO,3630,5204607,27.54821,
2020-04-07,1,0,GO,108823,5205109,0.91892,
2020-04-07,2,0,GO,71376,5205497,2.80206,
2020-04-07,5,0,GO,70084,5208608,7.1343,
2020-04-07,76,4,GO,1516113,5208707,5.01282,0.0526
2020-04-07,0,0,GO,21706,5209705,,
2020-04-07,0,0,GO,,,,
2020-04-07,2,0,GO,104742,5211503,1.90945,
2020-04-07,3,0,GO,100882,5211909,2.97377,
2020-04-07,6,1,GO,208299,5212501,2.88047,0.1667
2020-04-07,1,0,GO,8164,5214861,12.2489,
2020-04-07,1,0,GO,9853,5215009,10.14919,
2020-04-07,1,0,GO,10057,5216304,9.94332,
2020-04-07,8,0,GO,235647,5218805,3.39491,
2020-04-07,2,0,GO,33817,5220108,5.91419,
2020-04-07,1,0,GO,115371,5220454,0.86677,
2020-04-07,1,0,GO,20695,5220603,4.83209,
2020-04-07,1,0,GO,127599,5221403,0.78371,
2020-04-07,6,0,GO,168468,5221858,3.56151,
2020-04-07,1,0,GO,13863,5222005,7.21345,
2020-04-07,133,5,GO,7018354,52,1.89503,0.0376
2020-04-07,1,0,MA,112445,2100055,0.88932,
2020-04-07,1,0,MA,11177,2102408,8.94694,
2020-04-07,4,0,MA,258682,2105302,1.5463,
2020-04-07,6,0,MA,122197,2107506,4.9101,
2020-04-07,1,0,MA,89044,2109908,1.12304,
2020-04-07,1,0,MA,18663,2110401,5.3582,
2020-04-07,10,0,MA,177687,2111201,5.62787,
2020-04-07,203,11,MA,1101884,2111300,18.42299,0.0542
2020-04-07,2,0,MA,169107,2112209,1.18268,
2020-04-07,229,11,MA,7075181,21,3.23667,48
2020-04-07,1,0,MG,79996,3101607,1.25006,
2020-04-07,2,0,MG,117267,3103504,1.70551,
2020-04-07,2,0,MG,40092,3104205,4.98853,
2020-04-07,1,0,MG,137313,3105608,0.72826,
2020-04-07,275,5,MG,2512070,3106200,10.94715,0.0182
2020-04-07,6,0,MG,439340,3106705,1.36568,
2020-04-07,2,0,MG,40127,3107109,4.98418,
2020-04-07,1,0,MG,50605,3107406,1.97609,
2020-04-07,1,0,MG,14971,3108404,6.67958,
2020-04-07,1,0,MG,29551,3110608,3.38398,
2020-04-07,1,0,MG,54029,3111200,1.85086,
2020-04-07,1,0,MG,15461,3111507,6.46789,
2020-04-07,1,0,MG,8632,3112802,11.5848,
2020-04-07,1,0,MG,12170,3113909,8.21693,
2020-04-07,1,0,MG,22478,3114204,4.44879,
2020-04-07,1,0,MG,10350,3115805,9.66184,
2020-04-07,13,0,MG,663855,3118601,1.95826,
2020-04-07,2,0,MG,109855,3119401,1.82058,
2020-04-07,1,0,MG,3417,3121902,29.26544,
2020-04-07,15,0,MG,238230,3122306,6.29644,
2020-04-07,1,0,MG,70552,3124104,1.41739,
2020-04-07,1,0,MG,36225,3125101,2.76052,
2020-04-07,1,0,MG,59496,3127107,1.68079,
2020-04-07,3,0,MG,279885,3127701,1.07187,
